return_id,sku,category,reason_code,days_since_purchase,item_condition,order_value,customer_return_count,proof_of_purchase,decision
R1001,EL-WATCH-05,Electronics,not_as_described,36,worn,935.6,1,yes,approve_refund
R1002,HM-CHAIR-02,Home,defective,24,worn,215.82,1,yes,approve_repair
R1003,HM-KETTLE-03,Home,damaged_in_shipping,72,damaged,615.69,0,yes,approve_refund
R1004,FW-SLIPPER-05,Footwear,defective,22,unworn_tags_attached,136.3,0,yes,approve_repair
R1005,AP-SUIT-06,Apparel,wrong_size,47,unworn_tags_attached,486.9,0,yes,deny
R1006,AP-JACKET-01,Apparel,damaged_in_shipping,13,damaged,69.62,0,yes,approve_refund
R1007,FW-SNEAK-01,Footwear,wrong_size,25,unworn_tags_attached,514.4,0,yes,approve_refund
R1008,FW-SLIPPER-05,Footwear,damaged_in_shipping,16,damaged,324.75,0,no,approve_refund
R1009,FW-SNEAK-01,Footwear,not_as_described,21,unworn_tags_attached,205.81,0,yes,approve_store_credit
R1010,FW-HEEL-04,Footwear,damaged_in_shipping,21,damaged,423.27,0,no,approve_refund
R1011,FW-HEEL-04,Footwear,changed_mind,9,worn,468.94,1,yes,deny
R1012,HM-LAMP-01,Home,changed_mind,57,worn,426.24,0,yes,deny
R1013,FW-SLIPPER-05,Footwear,not_as_described,11,opened_box,393.17,0,yes,approve_store_credit
R1014,AP-JEANS-03,Apparel,damaged_in_shipping,56,damaged,355.13,0,no,deny
R1015,AP-COAT-05,Apparel,wrong_size,19,opened_box,50.46,1,yes,deny
R1016,FW-SANDAL-03,Footwear,damaged_in_shipping,7,damaged,518.25,1,yes,approve_refund
R1017,FW-SANDAL-03,Footwear,damaged_in_shipping,34,damaged,394.46,0,yes,deny
R1018,AP-JACKET-01,Apparel,defective,4,worn,444.1,3,yes,approve_repair
R1019,FW-BOOT-02,Footwear,defective,31,damaged,173.21,1,yes,deny
R1020,FW-SNEAK-01,Footwear,not_as_described,20,opened_box,596.53,1,yes,approve_store_credit
R1021,FW-SNEAK-01,Footwear,defective,5,good_condition,99.73,1,yes,approve_refund
R1022,EL-LAPTOP-02,Electronics,defective,9,unworn_tags_attached,3035.8,0,yes,approve_repair
R1023,FW-BOOT-02,Footwear,not_as_described,37,damaged,330.06,2,yes,deny
