return_id,sku,category,reason_code,days_since_purchase,item_condition,order_value,customer_return_count,proof_of_purchase,decision
R1001,SKU-SHOE-01,Footwear,wrong_size,5,unworn_tags_attached,89.99,0,yes,approve_exchange
R1002,SKU-SHOE-02,Footwear,wrong_size,45,worn,79.99,1,yes,deny
R1003,SKU-ELEC-10,Electronics,defective,10,opened_box,249.99,0,yes,approve_refund
R1004,SKU-ELEC-11,Electronics,changed_mind,20,opened_box,199.99,0,yes,approve_store_credit
R1005,SKU-ELEC-12,Electronics,changed_mind,95,opened_box,159.99,2,yes,deny
R1006,SKU-APP-05,Apparel,not_as_described,7,unworn_tags_attached,45.00,0,yes,approve_refund
R1007,SKU-APP-06,Apparel,wrong_size,12,unworn_tags_attached,55.00,0,no,approve_exchange
R1008,SKU-APP-07,Apparel,changed_mind,3,unworn_tags_attached,60.00,4,yes,approve_store_credit
R1009,SKU-HOME-20,Home,damaged_in_transit,6,damaged,120.00,0,yes,approve_refund
R1010,SKU-HOME-21,Home,damaged_in_transit,40,damaged,110.00,1,no,deny
R1011,SKU-ELEC-13,Electronics,defective,15,opened_box,89.99,0,yes,approve_refund
R1012,SKU-ELEC-14,Electronics,defective,80,opened_box,299.99,0,yes,approve_repair
R1013,SKU-SHOE-03,Footwear,not_as_described,9,unworn_tags_attached,110.00,0,yes,approve_refund
R1014,SKU-SHOE-04,Footwear,changed_mind,2,worn,95.00,0,yes,deny
R1015,SKU-APP-08,Apparel,wrong_size,18,unworn_tags_attached,40.00,1,yes,approve_exchange
R1016,SKU-HOME-22,Home,changed_mind,25,unopened,75.00,0,yes,approve_refund
R1017,SKU-HOME-23,Home,changed_mind,110,unopened,65.00,0,yes,deny
R1018,SKU-ELEC-15,Electronics,wrong_item_shipped,4,opened_box,180.00,0,yes,approve_exchange
R1019,SKU-APP-09,Apparel,not_as_described,60,unworn_tags_attached,50.00,3,no,deny
R1020,SKU-SHOE-05,Footwear,defective,14,worn,130.00,0,yes,approve_refund
R1021,SKU-HOME-24,Home,defective,22,opened_box,220.00,0,yes,approve_refund
R1022,SKU-ELEC-16,Electronics,changed_mind,8,opened_box,349.99,0,yes,approve_store_credit
R1023,SKU-APP-10,Apparel,wrong_size,30,unworn_tags_attached,48.00,0,yes,approve_exchange
R1024,SKU-SHOE-06,Footwear,not_as_described,11,unworn_tags_attached,99.00,0,yes,approve_refund
R1025,SKU-HOME-25,Home,damaged_in_transit,3,damaged,150.00,0,yes,approve_refund
